id,date,time,timezone,user_id,username,tweet,replies,retweets,likes,location,hashtags,link
963342894894600199,2018-02-13,09:23:38,SE Asia Standard Time,39393977,irzaip,"Pelajari, contoh, terapkan. Jadikan ilmu yang berguna. Berdayakan Indonesia.  https://fb.me/PJ8Va2gw ",0,0,0,,[],https://twitter.com/irzaip/status/963342894894600199/
960086119550476289,2018-02-04,09:42:23,SE Asia Standard Time,39393977,irzaip,"Berbisnis memerlukan pemikiran ""Out of the Box"" dan ""Playful"" adalah sebuah syarat melahirkan inovasi....  https://fb.me/5zT6uDKjO ",1,0,1,,[],https://twitter.com/irzaip/status/960086119550476289/
959701225053851648,2018-02-03,08:12:57,SE Asia Standard Time,39393977,irzaip, https://fb.me/EDS4p6lQ ,0,0,0,,[],https://twitter.com/irzaip/status/959701225053851648/
958513521830105088,2018-01-30,01:33:26,SE Asia Standard Time,39393977,irzaip, https://fb.me/77ZaTLFuR ,0,0,0,,[],https://twitter.com/irzaip/status/958513521830105088/
956839067936845824,2018-01-26,10:39:45,SE Asia Standard Time,39393977,irzaip, https://fb.me/4CSmvpk7G ,0,0,0,,[],https://twitter.com/irzaip/status/956839067936845824/
956153743153815552,2018-01-24,13:16:31,SE Asia Standard Time,39393977,irzaip, https://fb.me/8n04YPa9i ,0,0,0,,[],https://twitter.com/irzaip/status/956153743153815552/
955377443283587073,2018-01-22,09:51:47,SE Asia Standard Time,39393977,irzaip, https://fb.me/95vAAzF9S ,0,0,0,,[],https://twitter.com/irzaip/status/955377443283587073/
954913531723468803,2018-01-20,03:08:22,SE Asia Standard Time,39393977,irzaip, https://fb.me/HNAYNaYY ,0,0,0,,[],https://twitter.com/irzaip/status/954913531723468803/
954909941080391680,2018-01-20,02:54:05,SE Asia Standard Time,39393977,irzaip,Outcome akan lebih punya motivasi yang kuat jika kita menganggap bahwa tujuan ini PENTING dan YAKIN untuk...  https://fb.me/9HcrW5SX7 ,0,0,0,,[],https://twitter.com/irzaip/status/954909941080391680/
954710599094734849,2018-01-20,13:41:59,SE Asia Standard Time,39393977,irzaip,"Wow #Gtrainer, #kickassCF, #TOTBengis https://fb.me/1tjCYziIr ",0,0,0,,"['#Gtrainer', '#kickassCF', '#TOTBengis']",https://twitter.com/irzaip/status/954710599094734849/
